============================================================
Dr. Jekyll and Mr. Hyde RNG / Spawn Investigation v4
FCEUX Lua 5.1 compatible
============================================================
B14F is the primary construction marker.
AEEA is NOT used as a spawn counter.
DF/E0/E1 writes are logged directly.
B14F caller is reconstructed from the 6502 stack.
C726 caller is reconstructed from the 6502 stack.
E660/C2DA state is kept separate from C726.
C300 records the actual indirect C2DA target.
B19D records final 8-record state.
============================================================
EV=000001 F=11275 I=258505607 C=335753620 PC=C535 A=00 X=80 Y=00 DF=D1 E0=34 E1=B7 | C535 RNG ROUTINE | DF=D1 E0=34 E1=B7
EV=000002 F=11275 I=258505611 C=335753633 PC=C53F A=CF X=B7 Y=00 DF=CF E0=34 E1=B7 | WRITE DF | D1->CF DF&1=1 DF&3=3 DF&7=7
EV=000003 F=11275 I=258505615 C=335753646 PC=C547 A=FC X=B7 Y=00 DF=CF E0=FC E1=B7 | WRITE E0 | 34->FC E0SEL=7
EV=000004 F=11275 I=258505616 C=335753651 PC=C549 A=FC X=B7 Y=00 DF=CF E0=FC E1=B8 | WRITE E1 | B7->B8
EV=000005 F=11275 I=258510432 C=335770940 PC=C726 A=26 X=4D Y=01 DF=CF E0=FC E1=B8 | C726 QUEUE | ID=26 X=4D Y=01 caller=BF00 return=BF02 DF=CF E0=FC
EV=000006 F=11275 I=258510461 C=335771035 PC=E01F A=00 X=04 Y=00 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=00 0720=B0 0723=80
EV=000007 F=11275 I=258510471 C=335771062 PC=E01F A=F0 X=04 Y=04 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=04 0720=B0 0723=80
EV=000008 F=11275 I=258510481 C=335771089 PC=E01F A=F0 X=04 Y=08 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=08 0720=B0 0723=80
EV=000009 F=11275 I=258510491 C=335771116 PC=E01F A=F0 X=04 Y=0C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=0C 0720=B0 0723=80
EV=000010 F=11275 I=258510501 C=335771143 PC=E01F A=F0 X=04 Y=10 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=10 0720=B0 0723=80
EV=000011 F=11275 I=258510511 C=335771170 PC=E01F A=F0 X=04 Y=14 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=14 0720=B0 0723=80
EV=000012 F=11275 I=258510521 C=335771197 PC=E01F A=F0 X=04 Y=18 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=18 0720=B0 0723=80
EV=000013 F=11275 I=258510531 C=335771224 PC=E01F A=F0 X=04 Y=1C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=1C 0720=B0 0723=80
EV=000014 F=11275 I=258510550 C=335771275 PC=E01F A=C1 X=04 Y=20 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=20 0720=B0 0723=80
EV=000015 F=11275 I=258510560 C=335771302 PC=E01F A=F0 X=04 Y=24 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=24 0720=B0 0723=80
EV=000016 F=11275 I=258510570 C=335771329 PC=E01F A=F0 X=04 Y=28 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=28 0720=B0 0723=80
EV=000017 F=11275 I=258510580 C=335771356 PC=E01F A=F0 X=04 Y=2C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=2C 0720=B0 0723=80
EV=000018 F=11275 I=258510590 C=335771383 PC=E01F A=F0 X=04 Y=30 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=30 0720=B0 0723=80
EV=000019 F=11275 I=258510600 C=335771410 PC=E01F A=F0 X=04 Y=34 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=34 0720=B0 0723=80
EV=000020 F=11275 I=258510610 C=335771437 PC=E01F A=F0 X=04 Y=38 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=38 0720=B0 0723=80
EV=000021 F=11275 I=258510620 C=335771464 PC=E01F A=F0 X=04 Y=3C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=3C 0720=B0 0723=80
EV=000022 F=11275 I=258510630 C=335771491 PC=E01F A=F0 X=04 Y=40 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=40 0720=B0 0723=80
EV=000023 F=11275 I=258510640 C=335771518 PC=E01F A=F0 X=04 Y=44 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=44 0720=B0 0723=80
EV=000024 F=11275 I=258510650 C=335771545 PC=E01F A=F0 X=04 Y=48 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=48 0720=B0 0723=80
